Tweet,Sentiment
"Firework(katy Perry)REPEAT &lt;3 feeling extremely happy today ;););););):;););););););););););)",positive
"Tickets to see Maximo Park next month have been purchased! #excited",positive
"looks like im off to Nottingham in July :) #excited",positive
"i am watching molly make dinner #jolly",positive
"Love that I can finally drive with the windows down. #jolly #thejeep",positive
"#good #life #lovely #joy #friends http://t.co/EwieHgHL8c",positive
"@MissionHeir Great story shared through this foto! #joy #hope #life",positive
"Prayers have been answered and my class is outside today #elated",positive
"Wow I cannot wait to walk in this to class this morning #elated",positive
"i have no right to be sad because you were never mine",negative
"Not a very fruitful day #disappointed",negative
"Feeling rusty, stuck, and unproductive. #disappointed #expecting",negative
"Feeling sick #disgusted",negative
"Your discouraging words wont leave my head. #goaway #hurt",negative
"all the characters are clinically depressed and have abandoned their slim hopes and dreams.",negative
"Ew just watched this old man check this girl out in my class and then smiled and winked at her #disgusted",negative
"When you wake up every morning with a big fake smile on your face. #tired #unhappy #annoyed",negative
"Would love to know why I have not being paid! #unhappy",negative
