@relation Rel

@attribute Tweet string
@attribute ALL_CAPS_WORDS numeric
@attribute NEGATIVE_HASHTAGS numeric
@attribute CONSECUTIVE_QUESTION_MARKS numeric
@attribute POSITIVE_WORDS numeric
@attribute CONSECUTIVE_EXCLAMATIONS_MARKS numeric
@attribute ENLARGED_WORD numeric
@attribute NEGATIVE_WORDS numeric
@attribute POSITIVE_SMILIES numeric
@attribute ALL_CAPS numeric
@attribute NEGATIVE_SMILIES numeric
@attribute POSITIVE_HASHTAGS numeric
@attribute Sentiment {negative,positive}

@data
'massiv pimpl near ear',0,0,0,0,0,0,1,0,0,1,0,negative
'just realli want go home',0,0,0,0,0,0,0,0,0,1,0,negative
'laugh loud not_shit MENTION karruech 😂 URL',2,0,0,1,0,0,1,0,0,1,0,negative
'still not_trail',0,0,0,0,0,0,0,0,0,1,0,negative
'mayb mask come mayb peopl final start see empti univers will ever good night',0,0,0,1,0,0,0,0,0,1,0,negative
'just rememb work tomorrow morn asda new deal',0,0,0,0,0,0,0,0,0,1,0,negative
imissyou,0,0,0,0,0,0,0,0,0,1,0,negative
'wah disappoint',0,0,0,0,0,0,1,0,0,1,0,negative
'mayb can announc next week decemb 6 bc exam 1st 3rd month',0,0,0,0,0,0,0,0,0,1,0,negative
'chanc hope won',0,0,0,1,0,0,0,0,0,2.5,0,negative
'make sad mice men ticket like £40',0,0,0,1,0,0,1,0,0,1,0,negative
'cant believ sharapova murray DOTS cant see bc tix r damn ensiv ugh',0,0,0,0,0,0,2,1,0,1,0,negative
'good bye thank god friday',1,0,0,1,0,0,0,0,0,1,0,negative
'tax week realli need help intern candid keep bail just onboard dream hors even ride mule',0,0,0,0,0,0,1,0,0,1,0,negative
'way love nick',0,0,0,1,0,0,0,0,0,1,0,negative
'bloodi hell like one fave celebr one ugh',0,0,0,1,0,0,3,0,0,1.5,0,negative
'DOTS gonna die',0,0,0,0,0,0,1,0,0,1,0,negative
'automenfessrpw menfess djrp_kyuhyun save last memori fr know MENTION',1,0,0,0,0,0,0,0,0,1,0,negative
'want dog sobad URL',0,0,0,0,1,0,0,0,0,1,0,negative
'woke call hahaha',0,0,0,0,0,0,0,0,0,1.5,0,negative
'deserv alcohol right now',0,0,0,1,0,0,0,0,0,1,0,negative
'seem rain not_want go spend time son',0,0,0,0,0,0,0,0,0,1,0,negative
'third part trilog becom unwieldi perhap divid two novel give complet',0,0,0,0,0,0,1,0,0,1,0,negative
'sorri spam sale piec today like peopl might understand need sold help make new better stuff DOTS',0,0,0,2,0,0,1,0,0,1,0,negative
'aw man drank much last night',0,0,0,0,0,0,0,0,0,1,0,negative
'hell wrong data',0,0,0,0,0,0,2,0,0,1,0,negative
'com back MENTION uRL',0,0,0,0,0,0,0,1,0,1,0,negative
'2 days not_phone',0,0,0,0,0,0,0,0,0,1,0,negative
'pretti tiffani imnida MENTION xeolovestephi orz',1,0,0,1,0,0,0,0,0,1,0,negative
'rowan pope evil man believ olivia will pull trigga scandal',0,0,0,1,0,0,2,0,0,1,0,negative
'much yho MENTION snapstori 300 second long',0,0,0,0,0,0,0,0,0,1,0,negative
'throat infect </3darren morningsatanc',0,0,0,0,0,0,1,0,0,1,0,negative
'burt fuck reynold broke sell stuff DOTS URL',0,0,0,0,0,0,2,0,0,1,0,negative
'can never get mor suppli drop',0,0,0,0,0,0,0,0,0,1,0,negative
'pleas beliv',0,0,0,0,0,0,0,0,0,1,0,negative
'ticket still not_pric will one ticket not_lik last year serious not_booth ticket talaga',0,0,0,1,0,0,0,0,0,1,0,negative
'hi ho hi ho work go DOTS save leav keywest en febrero DOTS',0,0,0,1,0,0,0,0,0,1,0,negative
'total broken',0,0,0,0,0,0,1,0,0,1,0,negative
nightmar,0,0,0,0,0,0,1,0,0,1,0,negative
'im itch go get donut go shop aunt didnt invit like usual',0,0,0,1,0,0,1,0,0,1,0,negative
'everyth favourit celeb alway time cant go annoy',0,0,0,0,0,0,1,0,0,1,0,negative
'gotta go now not_everyon get day thanksgiv good later',0,0,0,1,0,0,0,1,0,1,0,negative
'ok MENTION sorri MENTION ahhh plantain MENTION burnt plantain',0,0,0,0,0,2,1,0,0,1,0,negative
'oh well get wifi ill doubt hate',13,0,0,1,0,0,2,0,1,1,0,negative
'go long ass day work 5 30',0,0,0,1,0,0,0,0,0,1.5,0,negative
'roll deep',0,0,0,0,0,0,0,0,0,1,0,negative
'not_on involv beef anymor',0,0,0,0,0,0,0,0,0,1,0,negative
'thank good friend kahit hindi tayo friend yung totoo',2,0,0,2,0,0,0,0,0,1,0,negative
'dy hair purpl whatev stupid reason gone brown hate',0,0,0,0,0,0,2,0,0,1,0,negative
'yee URL',0,0,0,0,0,0,0,0,0,1,0,negative
'get readi short attend funer young man still life cruel god bless shaun worthington',0,0,0,2,0,0,1,0,0,1,0,negative
'need start take care natur hair',0,0,0,0,0,0,0,0,0,1,0,negative
