ItemID,Sentiment,SentimentSource,SentimentText
1,negative,Sentiment140,                     is so sad for my APL friend.............
2,negative,Sentiment140,                   I missed the New Moon trailer...
3,positive,Sentiment140,              omg its already 7:30 :O
5,negative,Sentiment140,         i think mi bf is cheating on me!!!       T_T
6,negative,Sentiment140,         or i just worry too much?
7,positive,Sentiment140,       Juuuuuuuuuuuuuuuuussssst Chillin!!
8,negative,Sentiment140,       Sunny Again        Work Tomorrow  :-|       TV Tonight
9,positive,Sentiment140,      handed in my uniform today . i miss you already
10,positive,Sentiment140,      hmmmm.... i wonder how she my number @-)
11,negative,Sentiment140,      I must think about positive..
12,positive,Sentiment140,      thanks to all the haters up in my face all day! 112-102
13,negative,Sentiment140,      this weekend has sucked so far
14,negative,Sentiment140,     jb isnt showing in australia any more!
15,negative,Sentiment140,     ok thats it you win.
16,negative,Sentiment140,    &lt;-------- This is the way i feel right now...
17,negative,Sentiment140,"    awhhe man.... I completely useless rt now. Funny, all I can do is twitter. http://myloc.me/27HX"
18,positive,Sentiment140,    Feeling strangely fine. Now I gonna go listen to some Semisonic to celebrate
19,negative,Sentiment140,    HUGE roll of thunder just now...SO scary!!!!
20,negative,Sentiment140,    I just cut my beard off. It only been growing for well over a year. I gonna start it over. @shaunamanu is happy in the meantime.
21,negative,Sentiment140,    Very sad about Iran.
22,negative,Sentiment140,    wompppp wompp
23,positive,Sentiment140,    Youe the only one who can see this cause no one else is following me this is for you because youe pretty awesome
24,negative,Sentiment140,   &lt;---Sad level is 3. I was writing a massive blog tweet on Myspace and my comp shut down. Now it all lost *lays in fetal position*
25,negative,Sentiment140,   ...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
26,negative,Sentiment140,   BoRinG   ): whats wrong with him??     Please tell me........   :-/
27,negative,Sentiment140,   can be bothered. i wish i could spend the rest of my life just sat here and going to gigs. seriously.
28,negative,Sentiment140,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
29,positive,Sentiment140,"   goodbye exams, HELLO ALCOHOL TONIGHT "
30,negative,Sentiment140,   I didn realize it was THAT deep. Geez give a girl a warning atleast!
31,negative,Sentiment140,   I hate it when any athlete appears to tear an ACL on live television.
32,negative,Sentiment140,   i miss you guys too     i think i wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
33,negative,Sentiment140,  -- Meet your Meat http://bit.ly/15SSCI
34,negative,Sentiment140,   My horsie is moving on Saturday morning.
35,negative,Sentiment140,   No Sat off...Need to work 6 days a week
36,negative,Sentiment140,   Really Dont Like Doing my Room Its So Boring  Sick Of Doing My Wardrobe Out Cant Waiit Till I Have My Walk In One  Yay
37,negative,Sentiment140,"   SOX!     Floyd was great, but relievers need a scolding!"
38,negative,Sentiment140,   times by like a million
39,positive,Sentiment140,   uploading pictures on friendster
40,negative,Sentiment140,   what type of a spaz downloads a virus? my brother that who :\ MSN is now fucked forever    :(
41,negative,Sentiment140,  &amp;&amp;Fightiin Wiit The Babes...
42,positive,Sentiment140,  (: !!!!!! - so i wrote something last week. and i got a call from someone in the new york office... http://tumblr.com/xcn21w6o7
43,negative,Sentiment140,  *enough said*
44,positive,Sentiment140,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    "
45,positive,Sentiment140,  ... health class (what a joke!)
